 years months days precipitation
11802 1992 4 24 3.9
11803 1992 4 25 0.0
11804 1992 4 26 9.2
11805 1992 4 27 0.0
11806 1992 4 28 0.0
11807 1992 4 29 0.0
11808 1992 4 30 0.0
11809 1992 5 1 0.0
11810 1992 5 2 0.0
11811 1992 5 3 0.0
11812 1992 5 4 10.4
11813 1992 5 5 0.3
11814 1992 5 6 0.0
11815 1992 5 7 39.6
11816 1992 5 8 0.6
11817 1992 5 9 0.0
11818 1992 5 10 4.3
11819 1992 5 11 1.0
11820 1992 5 12 0.0
11821 1992 5 13 0.0
11822 1992 5 14 0.0
11823 1992 5 15 11.7
11824 1992 5 16 3.8
11825 1992 5 17 18.8
11826 1992 5 18 10.3
11827 1992 5 19 0.0
11828 1992 5 20 38.1
11829 1992 5 21 0.5
11830 1992 5 22 24.6
11831 1992 5 23 5.1
11832 1992 5 24 0.0
11833 1992 5 25 0.0
11834 1992 5 26 8.2
11835 1992 5 27 0.0
11836 1992 5 28 0.0
11837 1992 5 29 0.7
11838 1992 5 30 0.0
11839 1992 5 31 0.0
11840 1992 6 1 4.2
11841 1992 6 2 0.0
11842 1992 6 3 0.0
11843 1992 6 4 0.7
11844 1992 6 5 2.0
11845 1992 6 6 0.0
11846 1992 6 7 10.6
11847 1992 6 8 1.8
11848 1992 6 9 0.0
11849 1992 6 10 12.2
11850 1992 6 11 0.0
11851 1992 6 12 0.2
11852 1992 6 13 0.1
11853 1992 6 14 0.0
11854 1992 6 15 0.2
11855 1992 6 16 0.0
11856 1992 6 17 18.3
11857 1992 6 18 0.0
11858 1992 6 19 0.0
11859 1992 6 20 0.0
11860 1992 6 21 0.0
11861 1992 6 22 0.0
11862 1992 6 23 0.0
11863 1992 6 24 6.3
11864 1992 6 25 1.8
11865 1992 6 26 0.0
11866 1992 6 27 0.2
11867 1992 6 28 0.0
11868 1992 6 29 0.0
11869 1992 6 30 0.0
11870 1992 7 1 0.0
11871 1992 7 2 0.0
11872 1992 7 3 0.0
11873 1992 7 4 16.0
11874 1992 7 5 0.0
11875 1992 7 6 0.7
11876 1992 7 7 0.0
11877 1992 7 8 0.0
11878 1992 7 9 0.0
11879 1992 7 10 0.0
11880 1992 7 11 0.0
11881 1992 7 12 0.0
11882 1992 7 13 0.0
11883 1992 7 14 26.2
11884 1992 7 15 2.8
11885 1992 7 16 4.6
11886 1992 7 17 6.4
11887 1992 7 18 31.2
11888 1992 7 19 12.4
11889 1992 7 20 5.9
